ciiu,ciiu4_Actividad
2910,Fabricación de vehículos automotores
2816,Fabricación de equipo de elevación y manipulación
2829,Fabricación de otros tipos de maquinaria de uso especial
3040,Fabricación de vehículos militares de combate
2815,"Fabricación de hornos, hogares y quemadores"
2811,"Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas"
2819,Fabricación de otros tipos de maquinaria de uso general
2822,Fabricación de maquinaria para la conformación de metales y de máquinas herramienta
2591,"Forja, prensado, estampado y laminado de metales; pulvimetalurgia"
2660,Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico
2420,Fabricación de metales preciosos básicos y de otros metales no ferrosos
2011,Fabricación de sustancias químicas básicas
2395,"Fabricación de artículos de hormigón, cemento y yeso"
2012,Fabricación de abonos y compuestos de nitrógeno
2021,Fabricación de plaguicidas y otros productos químicos de uso agropecuario
1920,Fabricación de productos de la refinación del petróleo
1075,Elaboración de comidas y platos preparados
1061,Elaboración de productos de molienda
1101,"Destilación, rectificación y mezcla de bebidas alcohólicas"
1073,Elaboración de cacao y chocolate y de productos de confitería
7110,Actividades de arquitectura e ingeniería y actividades conexas de consultoría técnica
8291,Actividades de agencias de cobro y agencias de calificación crediticia
6910,Actividades jurídicas
7020,Actividades de consultoría de gestión
5021,Transporte de pasajeros por vías de navegación interiores
5224,Manipulación de la carga
7911,Actividades de agencias de viajes
1394,"Fabricación de cuerdas, cordeles, bramantes y redes"
